name,price,review_count,alias,Phone1,city,country,state,address1,zip_code,latitude,longitude,image_url,rating
American Bar,3.0,44,cocktailbars,1,London,GB,XGL,The Savoy Hotel,WC2R 0EU,51.509767,-0.119833,https://s3-media1.fl.yelpcdn.com/bphoto/SKAdDh-m8ryWJtivu_hdMQ/o.jpg,4.5
Burger & Lobster,2.0,228,seafood,1,London,GB,XGL,36 Dean Street,W1D 4PS,51.5135487,-0.1322316,https://s3-media2.fl.yelpcdn.com/bphoto/DLmidvUBiGi5TfktTK25Jw/o.jpg,4.0
Quilon Restaurant,3.0,103,indpak,1,London,GB,XGL,41 Buckingham Gate,SW1E 6AF,51.4987197,-0.1374994,https://s3-media4.fl.yelpcdn.com/bphoto/weedogT3GCipmiiLua7UTw/o.jpg,4.5
Nightjar,3.0,149,lounges,1,London,GB,XGL,129 City Road,EC1V 1JB,51.5265222,-0.0877499,https://s3-media1.fl.yelpcdn.com/bphoto/yzyTg5QidNVxlEqH1BXOXg/o.jpg,4.5
Savoir Faire,2.0,153,french,1,London,GB,XGL,42 New Oxford Street,WC1A 1EP,51.5171949,-0.1260125,https://s3-media2.fl.yelpcdn.com/bphoto/tbGiSuVoblLS9SVhqky_4A/o.jpg,4.5
Coca Cola London Eye,,808,localflavor,0,London,GB,XGL,Riverside Building,SE1 7PB,51.503364,-0.11957,https://s3-media1.fl.yelpcdn.com/bphoto/L69q8DUsyKHxziZDONNQAA/o.jpg,4.0
Scott's,4.0,74,seafood,1,London,GB,XGL,20 Mount Street,W1K 2HE,51.5098472,-0.150917,https://s3-media3.fl.yelpcdn.com/bphoto/3E9t17OMWrXHH44gBi1q9w/o.jpg,4.5
Craft Beer Co.,2.0,36,pubs,0,London,GB,XGL,57 White Lion Street,N1 9PP,51.5328255,-0.1107395,https://s3-media1.fl.yelpcdn.com/bphoto/i0A97tzY-8ZO2IDqZSiGEg/o.jpg,4.5
The Blind Pig,2.0,37,cocktailbars,1,London,GB,XGL,58 Poland Street,W1F 7NR,51.5138271,-0.1367278,https://s3-media1.fl.yelpcdn.com/bphoto/M--7O97CXPNkHWYM7UjCuA/o.jpg,4.5
La Fromagerie,3.0,91,cheese,1,London,GB,XGL,2-6 Moxon Street,W1U 4EW,51.5198559022,-0.152211421569,https://s3-media1.fl.yelpcdn.com/bphoto/cxKK1HXPc9YXtHK8krXNTw/o.jpg,4.0
Alchemy,1.0,19,coffee,1,London,GB,XGL,8 Ludgate Broadway,EC4V 6DU,51.513426416,-0.102642286734,https://s3-media2.fl.yelpcdn.com/bphoto/mCxSZPtxsRyEGt6xR1r3cw/o.jpg,4.5
Sushi Tetsu,4.0,17,sushi,1,London,GB,XGL,12 Jerusalem Passage,EC1V 4JP,51.5232787973,-0.103991949209,https://s3-media2.fl.yelpcdn.com/bphoto/jTSn3H0U51u1j5ROwSsMQQ/o.jpg,5.0
Sketch,3.0,424,french,1,London,GB,XGL,9 Conduit Street,W1S 2XG,51.5127614699,-0.14159163911,https://s3-media3.fl.yelpcdn.com/bphoto/QlCE0w4KCy5zbDVcy8GteA/o.jpg,4.0
The Wolseley,3.0,383,cafes,1,London,GB,XGL,160 Picadilly,W1J 9EB,51.507617,-0.141012,https://s3-media2.fl.yelpcdn.com/bphoto/77p-4o2J9FW_bOxw_TlJFw/o.jpg,4.0
Clos Maggiore,3.0,89,french,1,London,GB,XGL,33 King Street,WC2E 8JD,51.51166,-0.124695,https://s3-media2.fl.yelpcdn.com/bphoto/cJN2U4vVvsIH-p0QkKnKWg/o.jpg,4.5
Scooter Caffè,1.0,78,cafes,1,London,GB,XGL,132 Lower Marsh,SE1 7AE,51.5003412249,-0.113815344737,https://s3-media1.fl.yelpcdn.com/bphoto/ICCdbjh1f0uoJV3RxKurwQ/o.jpg,4.5
Pimlico Fresh,2.0,90,coffee,1,London,GB,XGL,85 Wilton Road,SW1V 1DE,51.4923913743,-0.14021524722,https://s3-media1.fl.yelpcdn.com/bphoto/u6TdCktKTJpVXtuaYmzQsA/o.jpg,4.5
Regency Café,1.0,256,coffee,1,London,GB,XGL,17-19 Regency Street,SW1P 4BY,51.4940143171,-0.132220079742,https://s3-media4.fl.yelpcdn.com/bphoto/BDtwPvVZrQ5anQz6T7y43w/o.jpg,4.5
Algerian Coffee Stores,1.0,42,coffee,1,London,GB,XGL,52 Old Compton Street,W1D 4PB,51.512897436,-0.132233086833,https://s3-media1.fl.yelpcdn.com/bphoto/T98LwpBpDP-R5uNCCkHenw/o.jpg,4.5
Sky Garden,,112,landmarks,1,London,GB,XGL,20 Fenchurch Street,EC3M 3BY,51.5113132007,-0.0836999694629,https://s3-media2.fl.yelpcdn.com/bphoto/xIgeFOcYka04Cr22p-Lp-A/o.jpg,4.5
Portland Café,1.0,34,salad,1,London,GB,XGL,132 Great Portland Street,W1W 6PU,51.5199777,-0.1425633,https://s3-media2.fl.yelpcdn.com/bphoto/j-2PtA_KrFjwAtLZmNYwJg/o.jpg,4.5
CASK Pub and Kitchen,2.0,99,pubs,1,London,GB,XGL,6 Charlwood Street,SW1V 2EE,51.4913503977,-0.137536887952,https://s3-media2.fl.yelpcdn.com/bphoto/58_OSa8m_u3mV7KajVyYgA/o.jpg,4.5
Amaya,4.0,130,indpak,1,London,GB,XGL,Halkin Arcade,SW1X 8LB,51.499285,-0.157143,https://s3-media3.fl.yelpcdn.com/bphoto/0_lCaJZb5eYPJFYsmytl8Q/o.jpg,4.0
Camden Market,2.0,382,fleamarkets,1,London,GB,XGL,Camden Lock Place,NW1 8AF,51.5414599,-0.1464722,https://s3-media1.fl.yelpcdn.com/bphoto/Rds1W5DFqyRmjg9gJVfFeg/o.jpg,4.0
Il Blandford's,2.0,65,italian,1,London,GB,XGL,65 Chiltern Street,W1U 6NH,51.520315,-0.155747,https://s3-media3.fl.yelpcdn.com/bphoto/wS0HBU2VJ50Cmvd-ADRhEA/o.jpg,4.5
Pizza Pilgrims,2.0,91,pizza,1,London,GB,XGL,11 Dean Street,W1D 3RP,51.5149474,-0.1332208,https://s3-media3.fl.yelpcdn.com/bphoto/CBJ4WV6IapHANrfgkq9vGQ/o.jpg,4.5
Princess Louise,2.0,118,pubs,1,London,GB,XGL,208 High Holborn,WC1V 7BW,51.5172942361,-0.121571033736,https://s3-media4.fl.yelpcdn.com/bphoto/DbxYRwIuSmVy3vkEnPJ3IQ/o.jpg,4.5
St Martin in the Fields,1.0,41,landmarks,1,London,GB,XGL,St Martin's Place,WC2N 4JH,51.508793,-0.126756,https://s3-media3.fl.yelpcdn.com/bphoto/Mu7tMY94tlB-DuEmHPlLTA/o.jpg,4.5
Boro Bistro,2.0,24,pubs,1,London,GB,XGL,6-10 Borough High Street,SE1 9QQ,51.5061193239,-0.0887993531057,https://s3-media2.fl.yelpcdn.com/bphoto/3tWXCqLo9SboWUCI7DQcyw/o.jpg,5.0
Petrus,4.0,69,french,1,London,GB,XGL,1 Kinnerton Street,SW1X 8EA,51.4993674,-0.1565204,https://s3-media2.fl.yelpcdn.com/bphoto/YRM7CW_0Yboqpd-Jouz96w/o.jpg,4.5
Abeno,2.0,81,japanese,1,London,GB,XGL,47 Museum Street,WC1A 1LY,51.5175591,-0.125158,https://s3-media4.fl.yelpcdn.com/bphoto/TXqPK2cSrNI47RQ4R9nkQw/o.jpg,4.5
Bocca Di Lupo,3.0,146,italian,1,London,GB,XGL,12 Archer Street,W1D 7BB,51.5116836913,-0.13395350659,https://s3-media2.fl.yelpcdn.com/bphoto/L1otT9jfvD9Llg56wNEVEQ/o.jpg,4.0
The Tiroler Hut Restaurant,2.0,60,german,1,London,GB,XGL,27 Westbourne Grove,W2 4UA,51.5155202,-0.189546,https://s3-media1.fl.yelpcdn.com/bphoto/rpk_40vKhiOWm28ynWXgKQ/o.jpg,4.5
Holland Park,,51,parks,1,London,GB,XGL,Ilchester Place,W8 6LU,51.5014628,-0.2036111,https://s3-media4.fl.yelpcdn.com/bphoto/JFOWn9kCNzPKBI_KAnlFjQ/o.jpg,4.5
Patara,3.0,127,thai,1,London,GB,XGL,15 Greek Street,W1D 4DP,51.5141961,-0.1307571,https://s3-media1.fl.yelpcdn.com/bphoto/Kli7ak4bz8S7zMQR71rtTg/o.jpg,4.0
Workshop Coffee,2.0,144,cafes,1,London,GB,XGL,27 Clerkenwell Road,EC1M 5RN,51.5224427848,-0.102396011353,https://s3-media1.fl.yelpcdn.com/bphoto/sBvH2CvompkWMUs279yTeA/o.jpg,4.0
Pollen Street Social,4.0,66,british,1,London,GB,XGL,8-10 Pollen Street,W1S 1NQ,51.5134486408,-0.142294155465,https://s3-media2.fl.yelpcdn.com/bphoto/7Fvk-YCNKS3fQload_nuAQ/o.jpg,4.0
Zuma,4.0,126,japanese,1,London,GB,XGL,5 Raphael Street,SW7 1DL,51.5009498267,-0.163151969987,https://s3-media1.fl.yelpcdn.com/bphoto/EFQ4WUpXvgilBj8iK9OaDw/o.jpg,4.0
St John Bar and Restaurant,3.0,244,british,1,London,GB,XGL,26 St John Street,EC1M 4AY,51.520481,-0.101486,https://s3-media1.fl.yelpcdn.com/bphoto/SKH7QWCTCNkeVdb8zYa73Q/o.jpg,4.5
Fera at Claridge's,4.0,24,british,1,London,GB,XGL,Brook Street,W1K 4HR,51.5124262,-0.1476371,https://s3-media2.fl.yelpcdn.com/bphoto/QSUcVmtJZehOCtlYZdvf7A/o.jpg,4.5
Platform 9-3/4,,104,localflavor,0,London,GB,XGL,Kings Cross Station,,51.5306930395,-0.123188495636,https://s3-media1.fl.yelpcdn.com/bphoto/PgdRp-G27xHyimYlXrk_4Q/o.jpg,4.5
Happiness Forgets,2.0,93,cocktailbars,1,London,GB,XGL,8-9 Hoxton Square,N1 6NU,51.5277028286,-0.0816464424133,https://s3-media2.fl.yelpcdn.com/bphoto/lAY7jhsyBHJXqalxGkiAGA/o.jpg,4.5
Ye Olde Cheshire Cheese,2.0,263,pubs,1,London,GB,XGL,145 Fleet Street,EC4A 2BU,51.5143449,-0.107315,https://s3-media4.fl.yelpcdn.com/bphoto/7ujL0pZ5ADlILXIKm2dZVQ/o.jpg,4.0
Fernandez & Wells,1.0,32,coffee,1,London,GB,XGL,43 Lexington Street,W1F 9AL,51.512986,-0.136428,https://s3-media3.fl.yelpcdn.com/bphoto/egrFD0Sel1i1u9JTNRceMA/o.jpg,4.5
Hotel Chocolat,2.0,44,chocolate,1,London,GB,XGL,4 Monmouth Street,WC2H 9HB,51.5149024,-0.1268532,https://s3-media4.fl.yelpcdn.com/bphoto/mdlPvEvow9hlILuddgyVtg/o.jpg,4.5
Hawksmoor Spitalfields,3.0,155,steak,1,London,GB,XGL,157a Commercial Street,E1 6BJ,51.5211502,-0.075657,https://s3-media4.fl.yelpcdn.com/bphoto/t9zSb9jkjQ_SJk512Mwx8Q/o.jpg,4.5
Donostia,3.0,35,tapasmallplates,1,London,GB,XGL,10 Seymour Place,W1H 7ND,51.514732,-0.160959,https://s3-media1.fl.yelpcdn.com/bphoto/pDL_5XvopZWSZ02sJpUUQg/o.jpg,4.5
Hakkasan,4.0,199,cantonese,1,London,GB,XGL,8 Hanway Place,W1T 1HD,51.5171482804,-0.131805789327,https://s3-media1.fl.yelpcdn.com/bphoto/6Pb66YehODkSqOwt99QtHw/o.jpg,4.0
Prufrock Coffee,2.0,82,coffee,1,London,GB,XGL,23-25 Leather Lane,EC1N 7TE,51.519977,-0.109607,https://s3-media3.fl.yelpcdn.com/bphoto/veIJzLu3UZ7gBvK537FG6w/o.jpg,4.5
Yauatcha,3.0,401,dimsum,1,London,GB,XGL,15-17 Broadwick Street,W1F 0DL,51.5137076071,-0.135128831605,https://s3-media2.fl.yelpcdn.com/bphoto/WuFnN24RnOqzEVAIy1zvZA/o.jpg,4.0
Terroirs,3.0,85,wine_bars,1,London,GB,XGL,5 William IV Street,WC2N 4DW,51.5093551,-0.1252067,https://s3-media3.fl.yelpcdn.com/bphoto/Tk-0asjJ6OoAVM-5gTwRaA/o.jpg,4.5
La Petite Maison,4.0,38,french,1,London,GB,XGL,53 - 54 Brooks Mews,W1K 4EG,51.512638,-0.146243,https://s3-media2.fl.yelpcdn.com/bphoto/Czp1EbR5O2HPbmIvL7vEZA/o.jpg,4.5
Pied à Terre,4.0,51,french,1,London,GB,XGL,34 Charlotte Street,W1T 2NH,51.5190877,-0.1351808,https://s3-media3.fl.yelpcdn.com/bphoto/aYFIJCS6vZjDRsQ-Wq9cNA/o.jpg,4.5
Kanada-Ya,2.0,98,ramen,1,London,GB,XGL,64 St Giles High Street,WC2H 8LE,51.51555,-0.127588,https://s3-media2.fl.yelpcdn.com/bphoto/pMLP_7-lTUyO_-Jo58tTGQ/o.jpg,4.5
Ozone Coffee,2.0,139,coffee,1,London,GB,XGL,11 Leonard Street,EC2A 4AQ,51.5246836893,-0.0866741065609,https://s3-media4.fl.yelpcdn.com/bphoto/Aj2Lq6ele8wHvEhPjTbv2Q/o.jpg,4.5
Maroush II,2.0,75,mideastern,1,London,GB,XGL,38 Beauchamp Place,SW3 1NU,51.49724,-0.164357,https://s3-media2.fl.yelpcdn.com/bphoto/iEIT-Y6iAotdL12NPXHkFA/o.jpg,4.5
Le Relais de Venise L'Entrecôte,3.0,166,french,1,London,GB,XGL,120 Marylebone Lane,W1U 2QG,51.518264,-0.151117,https://s3-media4.fl.yelpcdn.com/bphoto/w3gbmYc_--ECpplrOI2x3A/o.jpg,4.0
Ottolenghi,2.0,195,mediterranean,1,London,GB,XGL,287 Upper Street,N1 2TZ,51.5397542479,-0.102216303349,https://s3-media1.fl.yelpcdn.com/bphoto/_F6q54638s051BjQtzrxRw/o.jpg,4.0
Lanzhou Noodle Bar,1.0,209,chinese,1,London,GB,XGL,33 Cranbourne Street,WC2H 7AD,51.5116034713,-0.127834377873,https://s3-media4.fl.yelpcdn.com/bphoto/IKy91e7hb9w14m4eA9HH1w/o.jpg,4.0
Texture,3.0,40,champagne_bars,1,London,GB,XGL,34 Portman Street,W1H 7BY,51.5148736021,-0.156574989917,https://s3-media1.fl.yelpcdn.com/bphoto/OMwbdoOXnY-lX0_j3Og8bQ/o.jpg,4.5
Roti Chai,2.0,226,indpak,1,London,GB,XGL,3 Portman Mews South,W1H 6AY,51.5146226,-0.1557135,https://s3-media2.fl.yelpcdn.com/bphoto/vZF-TtdQZKMcuhBxdjJasQ/o.jpg,4.0
The Golden Hind,2.0,226,fishnchips,1,London,GB,XGL,73 Marylebone Lane,W1U 2PN,51.518001,-0.151026,https://s3-media1.fl.yelpcdn.com/bphoto/_LjwTVOnKglF9BBcs4OqSw/o.jpg,4.0
The Library Bar,3.0,12,wine_bars,1,London,GB,XGL,The Lanesborough,SW1X 7TA,51.5023849627,-0.152542591095,https://s3-media2.fl.yelpcdn.com/bphoto/XyFURG-HZEcaDUkN-BvOZA/o.jpg,5.0
Brill,1.0,32,media,1,London,GB,XGL,27 Exmouth Market,EC1R 4QL,51.5259824132,-0.109100418418,https://s3-media4.fl.yelpcdn.com/bphoto/zRo1m3N-B9hHYVL2Yn73rQ/o.jpg,4.5
Hot Stuff,2.0,56,indpak,1,London,GB,XGL,19 Wilcox Road,SW8 2XA,51.4796635642,-0.126418375985,https://s3-media4.fl.yelpcdn.com/bphoto/f_MPRW7puexNx014fz3mkQ/o.jpg,4.5
Swan Shakespeare's Globe,2.0,172,british,1,London,GB,XGL,Swan Shakespeare's Globe,SE1 9DT,51.508121,-0.096609,https://s3-media3.fl.yelpcdn.com/bphoto/gwNMJITx0239fOuQGMN18A/o.jpg,4.0
José,2.0,67,spanish,1,London,GB,XGL,104 Bermondsey Street,SE1 3UB,51.500861,-0.082129,https://s3-media1.fl.yelpcdn.com/bphoto/uP1eiwiDjvEx6_KBiQfVXA/o.jpg,4.5
Mildreds,2.0,224,vegan,1,London,GB,XGL,45 Lexington Street,W1F 9AN,51.513023,-0.136484,https://s3-media1.fl.yelpcdn.com/bphoto/Rl2oelx3ch-TW5tWwesIeA/o.jpg,4.0
tibits,2.0,134,vegetarian,1,London,GB,XGL,12-14 Heddon Street,W1B 4DA,51.5110449,-0.1391723,https://s3-media3.fl.yelpcdn.com/bphoto/jUSozJFJfEHs8FQ2vX-gIw/o.jpg,4.0
Cafe Bella Maria,1.0,51,coffee,1,London,GB,XGL,4 Lower Grosvenor Place,SW1W 0EJ,51.4980558,-0.1444512,https://s3-media1.fl.yelpcdn.com/bphoto/SYQbTKjuKc0YRDBgHfydJQ/o.jpg,4.5
Konditor & Cook,2.0,32,bakeries,1,London,GB,XGL,22 Cornwall Road,SE1 8TW,51.5046574385,-0.110553795941,https://s3-media1.fl.yelpcdn.com/bphoto/k31w2Nxyg2pc3y6k5A55WA/o.jpg,4.5
Exmouth Coffee Company,2.0,65,coffee,1,London,GB,XGL,83 Whitechapel High Street,E1 7QX,51.515994,-0.070496,https://s3-media1.fl.yelpcdn.com/bphoto/vjs43dxO_ERHhJJPpTWHIA/o.jpg,4.5
Golden Union Fish Bar,2.0,161,fishnchips,1,London,GB,XGL,38 Poland Street,W1F 7LY,51.5153383,-0.1376925,https://s3-media1.fl.yelpcdn.com/bphoto/LXtWa8t6kxpCVOdNoOefkA/o.jpg,4.0
The Grenadier,2.0,138,british,1,London,GB,XGL,18 Wilton Row,SW1X 7NR,51.5013810088,-0.15488854546,https://s3-media2.fl.yelpcdn.com/bphoto/lGspoDchZa6uo3qDrSA_bA/o.jpg,4.0
Mother Mash,1.0,236,british,1,London,GB,XGL,26 Ganton Street,W1F 7QZ,51.512935,-0.139414,https://s3-media2.fl.yelpcdn.com/bphoto/e3Rr9DWSXP3yqmkI0ya-7Q/o.jpg,4.0
Yumchaa Soho,1.0,136,coffee,1,London,GB,XGL,45 Berwick Street,W1F 8SF,51.5151647265,-0.13609727052,https://s3-media3.fl.yelpcdn.com/bphoto/T_1rfu7-hVZNs5G38qPHCA/o.jpg,4.0
Millenium Bridge,,107,landmarks,1,London,GB,XGL,Thames Embankment,SW1,51.5093109572,-0.0985913331076,https://s3-media3.fl.yelpcdn.com/bphoto/ud8CS-R_ljDj7HFCpCmJdQ/o.jpg,4.5
Honey & Co,2.0,80,mideastern,1,London,GB,XGL,25a Warren Street,W1T 5LZ,51.5238287,-0.1407882,https://s3-media1.fl.yelpcdn.com/bphoto/AidUUxVPrWHRyv_hSzQgig/o.jpg,4.0
Hampstead Heath,,108,parks,0,London,GB,XGL,Hampstead Grove,NW3 6SP,51.5649062857,-0.168914794922,https://s3-media2.fl.yelpcdn.com/bphoto/3l97-cV7nrRgyrngQ_JsLw/o.jpg,4.5
Home House,3.0,35,hotels,1,London,GB,XGL,20 Portman Square,W1H 6LW,51.5161502441,-0.156653050083,https://s3-media4.fl.yelpcdn.com/bphoto/YbbEJxvWvCOMMPsYLtYCEg/o.jpg,4.5
Cafe Du Marche,3.0,48,french,1,London,GB,XGL,Charterhouse Mews,EC1M 6AH,51.5206234,-0.1007171,https://s3-media3.fl.yelpcdn.com/bphoto/V0etpUkZGwVXg9ceW4q_cg/o.jpg,4.5
Espresso Room,2.0,39,coffee,1,London,GB,XGL,31-35 Great Ormond Street,WC1N 3HZ,51.5218919,-0.1197139,https://s3-media1.fl.yelpcdn.com/bphoto/6flPh160D8juLPQpTBE6oQ/o.jpg,4.5
Vasco & Piero's Pavilion Restaurant,3.0,42,italian,1,London,GB,XGL,15 Poland Street,W1F 8QE,51.514775,-0.136932,https://s3-media2.fl.yelpcdn.com/bphoto/TJ2cqDSnPewbk15OK68oSw/o.jpg,4.5
Maison D'être,1.0,47,coffee,1,London,GB,XGL,154 Canonbury Road,N1 2UP,51.5458012796,-0.102052688599,https://s3-media3.fl.yelpcdn.com/bphoto/rbPwbqdc9ZaZoAwYnEkS6A/o.jpg,4.5
The Gunmakers,2.0,52,pubs,1,London,GB,XGL,13 Eyre Street Hill,EC1R 5ET,51.5230066111,-0.110520506672,https://s3-media2.fl.yelpcdn.com/bphoto/76S4oJh8RdkvBXwUPkEpsA/o.jpg,4.5
Burger & Lobster,2.0,47,tradamerican,1,London,GB,XGL,Fifth Floor Harvey Nichols,SW1X 7RJ,51.501594,-0.159817,https://s3-media1.fl.yelpcdn.com/bphoto/Yd0Tdp7kdJ3WgLNMlIcQtw/o.jpg,4.5
Department of Coffee and Social Affairs,2.0,73,coffee,1,London,GB,XGL,14-16 Leather Lane,EC1N 7SU,51.5194646,-0.1089855,https://s3-media1.fl.yelpcdn.com/bphoto/W_xUKBTvCBaAlWlj7UjbUg/o.jpg,4.5
La Crêperie de Hampstead,1.0,79,creperies,0,London,GB,XGL,77 Hampstead High Street,NW3 1RE,51.5556822346,-0.176920254462,https://s3-media3.fl.yelpcdn.com/bphoto/DtqcRuk8aRYy_5JjJiwLIQ/o.jpg,4.5
Freebird Burritos,1.0,42,mexican,0,London,GB,XGL,Rupert Street,W1F 0RG,51.512254,-0.133936,https://s3-media1.fl.yelpcdn.com/bphoto/zLF_LJmapWSe0PWz0GEDig/o.jpg,4.0
Trishna,3.0,65,indpak,1,London,GB,XGL,15-17 Blandford Street,W1U 3DG,51.518294,-0.153047,https://s3-media2.fl.yelpcdn.com/bphoto/Zg4cksWIcRlrFoy8neTofw/o.jpg,4.5
J Sheekey,3.0,104,seafood,1,London,GB,XGL,28-34 St Martin's Court,WC2N 4AL,51.510895,-0.127622,https://s3-media2.fl.yelpcdn.com/bphoto/dd44IHFxrtqKo3fcMtftxw/o.jpg,4.0
Roast To Go,1.0,27,foodstands,0,London,GB,XGL,Borough Market,SE1 1TL,51.5056071179,-0.091005769182,https://s3-media2.fl.yelpcdn.com/bphoto/gy5leR5eqlQ__fzlX-DREw/o.jpg,4.5
Dose,1.0,54,coffee,1,London,GB,XGL,70 Long Lane,EC1A 9EJ,51.519455,-0.099254,https://s3-media3.fl.yelpcdn.com/bphoto/sarRQ_Jy8SXtGUcGVv_kQA/o.jpg,4.5
Ciao Bella,2.0,111,italian,1,London,GB,XGL,86-90 Lambs Conduit Street,WC1N 3LZ,51.523242514,-0.119118084824,https://s3-media2.fl.yelpcdn.com/bphoto/PMtibALmQvELoSqILx_4-Q/o.jpg,4.0
Punjab,2.0,332,indpak,1,London,GB,XGL,80 Neal Street,WC2H 9PA,51.514992,-0.12596,https://s3-media2.fl.yelpcdn.com/bphoto/WszHTN4tSN82vdmc5t-tSg/o.jpg,4.0
Sushi Surprise,1.0,37,sushi,1,London,GB,XGL,52 Scrutton Street,EC2A 4PH,51.5233667437,-0.081058000073,https://s3-media2.fl.yelpcdn.com/bphoto/gLj0PL8KJt1L86DXVN7xCg/o.jpg,4.5
Honest Burgers,2.0,86,burgers,1,London,GB,XGL,251 Pentonville Road,N1 9NG,51.5308718,-0.1178225,https://s3-media4.fl.yelpcdn.com/bphoto/kfa93zNmWTAzSMsvXrfihA/o.jpg,4.5
San Carlo Cicchetti,3.0,58,italian,1,London,GB,XGL,215 Piccadilly,W1J 9HL,51.5095021386,-0.135087305947,https://s3-media1.fl.yelpcdn.com/bphoto/6qaY2Hku3mZNvn2jx7go0g/o.jpg,4.5
Ain't Nothin' But...,2.0,85,jazzandblues,1,London,GB,XGL,20 Kingly Street,W1B 5PZ,51.5129631039,-0.139623144472,https://s3-media3.fl.yelpcdn.com/bphoto/vDYafb7CBIGWbFd2ohx08A/o.jpg,4.0
The Red Fort,3.0,79,indpak,1,London,GB,XGL,77 Dean Street,W1D 3SH,51.5140704264,-0.132943848688,https://s3-media2.fl.yelpcdn.com/bphoto/cHD8kn8qnl57Qj2HbxAbDw/o.jpg,4.0
Launceston Place,4.0,44,british,1,London,GB,XGL,1A Launceston Place,W8 5RL,51.4990923503,-0.18513486878,https://s3-media1.fl.yelpcdn.com/bphoto/uqc5ueDiaa4_bVliqZC-nw/o.jpg,4.5
The Ivy,3.0,137,modern_european,1,London,GB,XGL,1 - 5 West Street,WC2H 9NQ,51.512814,-0.128013,https://s3-media3.fl.yelpcdn.com/bphoto/ABtGt8yDZuByLgy0muRAqQ/o.jpg,4.0
Wahaca,2.0,245,mexican,1,London,GB,XGL,80 Wardour Street,W1F 0TF,51.513334521,-0.133769912455,https://s3-media1.fl.yelpcdn.com/bphoto/710D2od7oBUljxtPANs20g/o.jpg,4.0
Pizza Union,1.0,62,pizza,0,London,GB,XGL,25 Sandy's Row,E1 7HW,51.5175265894,-0.0773585960269,https://s3-media1.fl.yelpcdn.com/bphoto/3sKTEeRIalCrP_bkT2gJOg/o.jpg,4.5
Books for Cooks,2.0,17,bookstores,1,London,GB,XGL,4 Blenheim Cresent,W11 1NN,51.5159431,-0.2053744,https://s3-media4.fl.yelpcdn.com/bphoto/es9dQRtoZKZFvj5LAGMl_g/o.jpg,5.0
Koshari Street,1.0,30,vegetarian,1,London,GB,XGL,56 St Martin's Lane,WC2N 4EA,51.5109410207,-0.126831103538,https://s3-media2.fl.yelpcdn.com/bphoto/fQ9q_dsII-MgQNApsBG03A/o.jpg,4.5
E Pellicci,1.0,67,italian,1,London,GB,XGL,332 Bethnal Green Road,E2 0AG,51.5265300058,-0.0634711028675,https://s3-media4.fl.yelpcdn.com/bphoto/_O8hG_iS97wDOmO5I5KS5A/o.jpg,4.5
Battersea Park,,44,parks,1,London,GB,XGL,Battersea Park,SW18 2PU,51.4794,-0.156946,https://s3-media2.fl.yelpcdn.com/bphoto/asXlaFdF44Y-iGdyksebyQ/o.jpg,4.5
ICCo,1.0,128,pizza,1,London,GB,XGL,46 Goodge Street,W1T 4LU,51.519545,-0.136045,https://s3-media2.fl.yelpcdn.com/bphoto/stG7VdGPeacEfHZUSfGtjw/o.jpg,4.0
Taylor St Baristas,2.0,49,coffee,1,London,GB,XGL,1A New Street,EC2M 4TP,51.5174625387,-0.0800693035126,https://s3-media4.fl.yelpcdn.com/bphoto/JPoD2wlPfWhtJYUu1t3i_g/o.jpg,4.5
Horniman Museum and Gardens,,63,museums,1,London,GB,XGL,100 London Road,SE23 3PQ,51.441141,-0.060774,https://s3-media1.fl.yelpcdn.com/bphoto/F2iSop0BSJJABQEisXxv0A/o.jpg,4.5
Orjowan Lebanese Cuisine,2.0,53,mideastern,1,London,GB,XGL,6 Kenway Road,SW5 0RR,51.49303,-0.193165,https://s3-media3.fl.yelpcdn.com/bphoto/xUC02Lz6r__mOaLJyqygpA/o.jpg,4.5
BAO - Soho,2.0,120,taiwanese,1,London,GB,XGL,53 Lexington Street,W1F 9AS,51.513205,-0.136621,https://s3-media2.fl.yelpcdn.com/bphoto/_GLgKbaV4riXOUU84BGfdA/o.jpg,4.0
The Table,2.0,193,british,1,London,GB,XGL,83 Southwark Street,SE1 0HX,51.505604,-0.099671,https://s3-media3.fl.yelpcdn.com/bphoto/t3PjwwDIuo1Zqc-bk9cP-Q/o.jpg,4.0
Bailey's Fish and Chips,1.0,63,fishnchips,1,London,GB,XGL,115 Dawes Road,SW6 7EQ,51.4803741785,-0.204150203865,https://s3-media1.fl.yelpcdn.com/bphoto/w3FEGHItN5SB1CDFxvAAFA/o.jpg,4.5
Chiltern Firehouse,4.0,82,modern_european,1,London,GB,XGL,1 Chiltern Street,W1U 7PA,51.5187121018,-0.154846859653,https://s3-media2.fl.yelpcdn.com/bphoto/CkiqZDv1tLnHHqOrlQXtUA/o.jpg,4.0
Rules Restaurant,3.0,161,british,1,London,GB,XGL,35 Maiden Lane,WC2E 7LB,51.5108207,-0.1232501,https://s3-media2.fl.yelpcdn.com/bphoto/E5pMWYpYMd-8ZK3OdmjQ7Q/o.jpg,4.0
Attendant,1.0,55,coffee,1,London,GB,XGL,Downstairs 27A,W1W 6DY,51.5192470996,-0.140738025145,https://s3-media4.fl.yelpcdn.com/bphoto/M9wQFD7wGZ4eqyD8RLczNw/o.jpg,4.5
