name,price,review_count,alias,Phone1,city,country,state,address1,zip_code,latitude,longitude,image_url,rating
Mr Thomas's Chop House,2.0,56,british,1,Manchester,GB,XGM,52 Cross Street,M2 7AR,53.481556,-2.2441389,https://s3-media1.fl.yelpcdn.com/bphoto/jKVGVpndKinKsFkhb9dF-g/o.jpg,4.0
Hotel Gotham,2.0,13,hotels,1,Manchester,GB,XGM,100 King Street,M2 4WU,53.480473039,-2.242218467,https://s3-media3.fl.yelpcdn.com/bphoto/D7aGeWWoxaA5KxilJ8Nv8g/o.jpg,4.5
The Northern Quarter,2.0,35,british,1,Manchester,GB,XGM,108 High Street,M4 1HT,53.4847196454,-2.23654568335,https://s3-media1.fl.yelpcdn.com/bphoto/V69qCdVhkvWAPYicQp7Qtg/o.jpg,4.0
63 Degrees,3.0,16,french,1,Manchester,GB,XGM,104 High Street,M4 1HQ,53.4849667,-2.2363215,https://s3-media1.fl.yelpcdn.com/bphoto/-4M6BmEDlP0xisf-yUxuIg/o.jpg,4.5
Waterstones,2.0,28,bookstores,1,Manchester,GB,XGM,91 Deansgate,M3 2BW,53.482226,-2.246773,https://s3-media4.fl.yelpcdn.com/bphoto/_GO3k0RX6wfeSUhYo5xkRg/o.jpg,4.5
Big Hands,2.0,44,pubs,1,Manchester,GB,XGM,296 Oxford Road,M13 9NS,53.462897,-2.230515,https://s3-media4.fl.yelpcdn.com/bphoto/mCvBoo-scsOvHM8ZP2GkQA/o.jpg,4.0
The 8th Day,1.0,53,vegetarian,1,Manchester,GB,XGM,111 Oxford Road,M1 7DU,53.4709876,-2.2375918,https://s3-media4.fl.yelpcdn.com/bphoto/an45qU_FsqDAs86VtUYEnQ/o.jpg,4.0
Côte Brasserie Manchester,2.0,18,french,1,Manchester,GB,XGM,4-12 St Mary's Street,M3 2LB,53.482261,-2.2476328,https://s3-media3.fl.yelpcdn.com/bphoto/uEXcZ9AxpPM0Q1uhtkWPFQ/o.jpg,4.5
The Molly House,2.0,35,pubs,1,Manchester,GB,XGM,26/28 Richmond Street,M1 3NB,53.477329,-2.237193,https://s3-media1.fl.yelpcdn.com/bphoto/fwsmXF8jsppJcdlf8vMrDA/o.jpg,4.0
Dough,2.0,83,pizza,1,Manchester,GB,XGM,75-77 High Street,M4 1FS,53.4844717956,-2.23744793493,https://s3-media3.fl.yelpcdn.com/bphoto/Xh3uLVReIFLspfK_eSaPCg/o.jpg,4.0
